"max(X)","min(X)"
0.65587,0.33889
0.6556,0.33913
0.65582,0.339
0.6553,0.33945
0.65497,0.33974
0.65512,0.33959
0.65469,0.33997
0.65446,0.34021
0.65444,0.34025
0.65404,0.3406
0.65385,0.34078
0.65359,0.34103
0.65353,0.34109
0.65309,0.34149
0.65287,0.34169
0.65262,0.34194
0.65232,0.34221
0.65227,0.3423
0.65178,0.34275
0.65152,0.34299
0.65151,0.343
0.65105,0.34336
0.65085,0.34356
0.65047,0.34389
0.65021,0.34416
0.6499,0.34447
0.64959,0.34477
0.64929,0.34507
0.64925,0.34514
0.64874,0.3456
0.64856,0.34585
0.64804,0.34634
0.64792,0.34652
0.64747,0.34689
0.64718,0.34717
0.64714,0.34721
0.6466,0.3476
0.64646,0.34774
0.64591,0.34816
0.64563,0.34843
0.6452,0.34885
0.64501,0.34912
0.64461,0.34948
0.6445,0.34966
0.64387,0.35011
0.64364,0.35033
0.64325,0.35067
0.64288,0.35098
0.64252,0.35123
0.64227,0.35139
0.64183,0.35165
0.64147,0.35187
0.64111,0.35209
0.64087,0.35222
0.64039,0.35248
0.64004,0.3527
0.63972,0.35293
0.6393,0.35318
0.639,0.35333
0.6386,0.35356
0.63824,0.35378
0.63789,0.35398
0.63749,0.35418
0.63733,0.35422
0.63684,0.35443
0.63649,0.35463
0.63635,0.35467
0.63585,0.35502
0.63572,0.35507
0.63527,0.3554
0.63497,0.35563
0.63483,0.35572
0.6344,0.35589
0.6342,0.35596
0.63378,0.35611
0.63352,0.35625
0.63327,0.35644
0.63306,0.35654
0.63283,0.35674
0.63242,0.35709
0.63228,0.35732
0.63235,0.35739
0.63201,0.3577
0.632,0.35789
0.63177,0.35814
0.63183,0.35819
0.63154,0.3583
0.63134,0.35851
0.63136,0.35859
0.63119,0.35871
0.63098,0.35883
0.6311,0.35875
0.63089,0.35883
0.63082,0.35894
0.63075,0.35907
0.63099,0.35902
0.63067,0.35924
0.63076,0.35927
0.63067,0.35946
0.63095,0.35937
0.6307,0.35959
0.63099,0.35952
0.63074,0.3597
0.63067,0.35986
0.63106,0.35964
0.63073,0.35978
