index,eigenvalue,residual
292,1.516110334246e+07,6.710216251912e-06
293,1.519828228316e+07,2.117383392719e-06
294,1.523505184200e+07,3.290110417562e-06
295,1.526376421579e+07,4.450032899909e-06
296,1.530157028572e+07,4.553256913565e-06
297,1.535562543217e+07,2.945108635097e-06
298,1.537197212983e+07,3.565211055471e-06
299,1.545131830652e+07,5.761359377564e-06
300,1.546249873148e+07,3.446910539552e-06
301,1.554237222419e+07,4.611307632024e-06
302,1.563518256456e+07,4.043736493673e-06
303,1.572784740064e+07,3.706215962512e-06
304,1.573741733916e+07,3.167643166674e-06
305,1.585671148276e+07,5.169490901612e-06
306,1.603587206220e+07,6.526148605541e-06
307,1.605957435583e+07,5.632799423136e-06
308,1.614907377937e+07,7.032604293192e-06
309,1.620811196837e+07,4.542423340928e-06
310,1.626025032473e+07,8.680827574250e-06
311,1.636102126329e+07,2.847572091404e-06
312,1.638597467949e+07,3.551918966491e-06
313,1.644754456345e+07,2.981591532554e-06
314,1.648337650484e+07,3.966856621245e-06
315,1.650295603625e+07,5.330437806407e-06
316,1.653466426496e+07,3.824356432798e-06
317,1.657211616606e+07,3.985541379834e-06
318,1.664691041381e+07,3.451101084213e-06
319,1.679168035535e+07,3.108068964731e-06
320,1.681712099955e+07,2.982076625661e-06
321,1.689490882910e+07,4.004283210909e-06
322,1.696020674559e+07,6.292276062651e-06
323,1.697020592222e+07,6.342787901387e-06
324,1.700211807620e+07,5.530861222039e-06
325,1.704244023579e+07,4.639921527811e-06
326,1.707986574132e+07,4.317350023291e-06
327,1.724891490988e+07,4.640204401071e-06
328,1.730034890891e+07,3.323407907448e-06
329,1.733736992739e+07,4.892054635097e-06
330,1.743944396178e+07,7.349835442091e-06
331,1.746863091252e+07,3.219283248138e-06
332,1.753729498634e+07,3.676842037141e-06
333,1.760606433499e+07,4.635511049591e-06
334,1.765222479173e+07,5.374998365670e-06
335,1.770428658283e+07,1.216355614170e-05
336,1.773977070222e+07,4.378650249893e-06
337,1.804062528682e+07,7.270426383377e-06
338,1.807783037771e+07,5.734629115883e-06
339,1.812149566315e+07,2.875422993037e-06
340,1.822610419554e+07,8.625226083794e-06
341,1.827443434581e+07,3.753717418594e-06
342,1.831253305815e+07,9.569284406337e-06
343,1.838500893086e+07,2.865893024054e-06
344,1.845714138294e+07,4.488538200070e-06
345,1.849157676376e+07,5.108757879140e-06
346,1.855881709807e+07,5.110473784028e-06
347,1.871847828982e+07,3.045471363390e-06
348,1.882103618192e+07,5.244220579889e-06
349,1.885207557333e+07,3.343209998734e-06
350,1.893571606926e+07,3.458390472589e-06
351,1.900182399299e+07,4.114664157017e-06
352,1.909832626998e+07,4.346438100070e-06
353,1.919626375026e+07,3.707838850719e-06
354,1.924703390353e+07,5.640243091237e-06
